55,,محطة معالجة النجف /م3,مدرج,مؤشر,156.9,اعلان,تصميم و تنفيذ,,✅,✅,✅,✅,✅,27/4/2025,27/4/2025,,,,,,
56,,مشروع مجاري حي النداء / محافظة النجف الاشرف,مدرج,مؤشر,168.1,اعلان,جداول كميات,,,,,,,,,,,,,,
57,,مشروع البنى التحتية لمدينة العلم الثقافية الخيرية,غير مدرج,غير مؤشر,21.8,اعلان,جداول كميات,,,,,,,,,,,,,,
58,,مشروع مجاري الحيدرية / محافظة النجف,مدرج,مؤشر,284.2,اعلان,جداول كميات,,✅,✅,✅,✅,✅,"Sun, 04 May 2025 00:00:00 GMT","Sun, 04 May 2025 00:00:00 GMT",,,,,,
,,محطة معالجة النجف,مدرج,مؤشر,14,دعوى,تصميم و تنفيذ,,,,,,,,,,,,,,
59,واسط,مشروع مجاري البشائر/ محافظة واسط ( البنى التحتية),مدرج,مؤشر,9.9,اعلان,جداول كميات,تم الإعلان,,✅,✅,✅,✅,✅,✅,✅,,,,,
60,,مشروع مجاري الحفرية/ محافظة واسط ( البنى التحتية ),غير مدرج,غير مؤشر,91.9,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
61,,مشروع مجاري الزبيدية/ محافظة واسط ( البنى التحتية ),غير مدرج,غير مؤشر,43.7,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
62,,مشروع تنفيذ محطة معالجة مع خطوط دفع في ناحية الشحيمية / محافظة واسط ( البنى التحتية ),غير مدرج,غير مؤشر,25,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
63,,مشروع تنفيذ محطة معالجة مع خطوط دفع في ناحية الدبوني / محافظة واسط ( البنى التحتية ),غير مدرج,غير مؤشر,24.1,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
64,,مشروع تنفيذ محطة معالجة مع خطوط دفع في ناحية واسط/ محافظة واسط ( البنى التحتية ),غير مدرج,غير مؤشر,21,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
,,شيخ سعد,,,24.3,,,,,,,,,,,,,,,,
65,,الحي,مدرج,مؤشر,34.5,دعوى,جداول كميات,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,
